Temperature,Humidity,SoilMoisture,Sunlight,Precipitation,Crop
21,83,41,823,1,Zucchini
28,54,58,763,3,Rice
31,76,47,899,5,Zucchini
33,73,43,818,2,Soybean
30,55,50,829,2,Custard Apple
30,62,62,942,4,Wheat
31,59,61,751,0,Litchi
35,54,65,934,5,Strawberry
27,73,63,952,2,Zucchini
30,64,50,820,5,Safflower
35,75,56,825,2,Pear
35,53,40,768,3,Maize Hybrid
20,83,44,862,0,Spinach Local
31,78,63,723,1,Cherry
35,68,53,868,3,Bottle Gourd Long
32,64,59,862,0,Safflower
21,76,54,832,4,Gram
28,52,43,735,3,Maize Hybrid
27,58,41,755,4,Sesame Black
20,67,64,725,5,Pomegranate
33,76,38,719,4,Mulberry
31,53,61,734,4,Maize
31,68,44,711,5,Grapes
28,72,54,831,4,Celery
27,81,36,907,2,Sesame Black
20,50,36,945,4,Wheat
34,56,48,774,3,Sorghum Hybrid
32,75,47,863,5,Fig
24,57,53,756,0,Ber
24,82,54,909,3,Sunflower
25,65,53,831,0,Lentil
20,53,50,809,1,Linseed
27,52,56,769,3,Bitter Gourd Hybrid
33,58,59,873,5,Maize Sweet
29,52,53,756,2,Maize
31,54,47,915,0,Amla
21,56,53,744,1,Celery
29,81,39,807,2,Lentil Red
34,75,36,949,2,Mulberry
35,58,40,968,5,Cabbage Early
28,55,63,818,3,Urad Dal
32,74,51,821,5,Papaya
21,62,48,794,0,Lentil
29,57,46,793,3,Zucchini
32,75,55,916,4,Banana
20,74,51,770,5,Mango
24,71,61,964,2,Watermelon Red
23,67,46,729,3,Mint
25,80,40,937,5,Maize
31,72,45,747,5,Cowpea
28,56,39,751,0,Pumpkin Orange
34,65,55,918,2,Gram
25,60,58,726,3,Rice Basmati
27,51,58,711,2,Pumpkin Orange
21,71,46,936,1,Paddy
34,78,54,798,1,Litchi
22,66,58,962,2,Pumpkin Orange
35,52,54,807,0,Papaya
32,62,50,830,5,Sorghum Hybrid
23,81,64,821,3,Cauliflower Late
35,81,37,754,4,Peas
23,68,63,804,2,Sugar Beet
21,58,60,931,3,Soybean Hybrid
27,50,37,878,5,Soybean
23,65,41,806,1,Rice
33,71,59,913,1,Grapes
35,57,64,730,0,Pineapple
27,69,45,941,0,Cherry
25,72,40,812,5,Sesame Black
33,76,47,704,4,Sunflower
28,75,42,855,5,Safflower
22,62,52,792,3,Grapes
33,54,52,827,0,Beetroot
29,60,54,922,3,Apple
29,52,45,784,3,Mint
23,51,54,717,3,Apple
20,63,37,881,2,Paddy
24,55,40,896,5,Celery
35,76,55,923,1,Pomegranate
25,63,61,928,2,Masoor Dal
27,78,36,862,2,Gram
32,64,59,755,3,Bitter Gourd Hybrid
25,62,54,755,5,Gram
34,71,55,821,4,Litchi
31,56,43,752,3,Banana
35,78,50,921,1,Radish
22,55,41,874,5,Broccoli
25,81,60,751,2,Lettuce
34,81,35,857,2,Lettuce
27,82,64,749,0,Cherry
24,66,35,712,2,Ridge Gourd Green
26,66,62,952,5,Guava
24,81,42,777,1,Pearl Millet
32,82,46,907,5,Cabbage Early
32,61,58,710,5,Lentil Red
32,78,44,767,5,Rice
25,71,47,750,1,Sugar Beet
26,58,43,741,4,Cowpea
33,65,36,774,3,Citrus
34,65,43,805,3,Mango
